"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"04.02.2021","13.010","12.950","13.100","12.810","42.92M","0.93%"
"03.02.2021","12.890","12.630","12.950","12.460","40.31M","2.96%"
"02.02.2021","12.520","11.800","12.730","11.800","49.57M","6.46%"
"29.01.2021","11.760","12.170","12.170","11.710","85.18M","-3.37%"
"28.01.2021","12.170","11.940","12.270","11.740","35.91M","2.79%"
"27.01.2021","11.840","12.270","12.310","11.790","61.06M","-4.36%"
"26.01.2021","12.380","12.400","12.460","12.250","52.95M","-0.40%"
"25.01.2021","12.430","12.440","12.470","12.020","34.37M","0.73%"
"22.01.2021","12.340","12.630","12.730","12.210","36.91M","-2.91%"
"21.01.2021","12.710","13.100","13.100","12.620","43.87M","-2.53%"
"20.01.2021","13.040","13.100","13.100","12.910","41.08M","-0.23%"
"19.01.2021","13.070","12.700","13.190","12.590","39.90M","3.16%"
"18.01.2021","12.670","12.660","12.750","12.440","7.76M","0.08%"
"15.01.2021","12.660","12.130","12.720","12.080","31.27M","4.03%"
"14.01.2021","12.170","11.470","12.250","11.460","34.74M","6.66%"
"13.01.2021","11.410","11.600","11.640","11.380","38.57M","-1.13%"
"12.01.2021","11.540","11.420","11.790","11.330","27.17M","1.58%"
"11.01.2021","11.360","11.540","11.550","11.280","31.69M","-1.82%"
"08.01.2021","11.570","11.720","11.730","11.520","147.56M","-0.69%"
"07.01.2021","11.650","11.610","11.710","11.510","45.78M","0.87%"
"06.01.2021","11.550","10.710","11.760","10.710","71.58M","8.35%"
"05.01.2021","10.660","10.380","10.680","10.300","22.91M","2.60%"
"04.01.2021","10.390","10.320","10.520","10.270","15.21M","1.17%"
"31.12.2020","10.270","10.390","10.390","10.240","4.20M","-0.96%"
"30.12.2020","10.370","10.320","10.480","10.290","12.22M","1.07%"
"29.12.2020","10.260","10.350","10.450","10.210","18.34M","-0.58%"
"28.12.2020","10.320","10.310","10.420","10.200","10.63M","0.68%"
"24.12.2020","10.250","10.360","10.360","10.120","21.01M","-1.16%"
"23.12.2020","10.370","10.200","10.440","10.150","20.37M","2.17%"
"22.12.2020","10.150","10.280","10.350","10.020","18.98M","-0.78%"
"21.12.2020","10.230","10.210","10.360","10.150","15.10M","-0.68%"
"18.12.2020","10.300","10.750","10.780","10.200","109.26M","-3.92%"
"17.12.2020","10.720","10.550","10.780","10.520","40.68M","1.90%"
"16.12.2020","10.520","10.580","10.630","10.490","21.32M","0.00%"
"15.12.2020","10.520","10.560","10.700","10.510","16.70M","-0.57%"
"14.12.2020","10.580","10.820","10.830","10.550","14.49M","-1.67%"
"11.12.2020","10.760","11.010","11.010","10.450","33.24M","-2.09%"
"10.12.2020","10.990","10.580","11.030","10.410","40.99M","3.78%"
"09.12.2020","10.590","10.960","11.000","10.490","33.19M","-3.38%"
"08.12.2020","10.960","11.150","11.150","10.830","42.45M","-1.79%"
"07.12.2020","11.160","10.990","11.180","10.800","26.29M","1.55%"
"04.12.2020","10.990","10.650","11.260","10.650","44.47M","3.88%"
"03.12.2020","10.580","9.930","10.640","9.900","32.68M","6.12%"
"02.12.2020","9.970","10.000","10.000","9.750","19.56M","-0.50%"
"01.12.2020","10.020","9.330","10.490","9.330","49.19M","8.91%"
"30.11.2020","9.200","9.310","9.470","9.120","232.47M","-1.18%"
"27.11.2020","9.310","9.350","9.490","9.250","12.52M","0.22%"
"26.11.2020","9.290","9.490","9.490","9.250","16.94M","-1.38%"
"25.11.2020","9.420","9.710","9.710","9.380","23.50M","-3.78%"
"24.11.2020","9.790","9.330","9.820","9.320","45.82M","5.50%"
"23.11.2020","9.280","9.290","9.380","9.230","21.25M","0.54%"
"20.11.2020","9.230","9.460","9.460","9.160","20.26M","-2.33%"
"19.11.2020","9.450","9.760","9.770","9.400","30.24M","-2.98%"
"18.11.2020","9.740","9.410","9.830","9.360","44.00M","4.51%"
"17.11.2020","9.320","9.100","9.390","9.070","33.45M","2.76%"
"13.11.2020","9.070","9.110","9.150","8.940","14.47M","0.33%"
"12.11.2020","9.040","9.160","9.400","8.980","15.08M","-1.74%"
"11.11.2020","9.200","9.250","9.400","9.090","26.58M","-0.11%"
"10.11.2020","9.210","8.720","9.300","8.720","39.35M","5.74%"
"09.11.2020","8.710","8.500","8.750","8.490","30.31M","4.44%"
"06.11.2020","8.340","8.600","8.680","8.190","20.64M","-2.91%"
"05.11.2020","8.590","8.510","8.620","8.430","23.15M","1.78%"
"04.11.2020","8.440","9.000","9.000","8.410","22.24M","-6.22%"
"03.11.2020","9.000","8.770","9.080","8.770","26.65M","2.74%"
"30.10.2020","8.760","8.350","8.840","8.350","65.81M","3.79%"
"29.10.2020","8.440","8.350","8.540","8.210","16.68M","0.84%"
"28.10.2020","8.370","8.260","8.480","8.040","28.37M","1.21%"
"27.10.2020","8.270","8.490","8.510","8.200","17.99M","-2.48%"
"26.10.2020","8.480","8.670","8.690","8.450","13.83M","-2.08%"
"23.10.2020","8.660","8.800","8.810","8.640","21.09M","-2.04%"
"22.10.2020","8.840","8.900","8.930","8.740","24.93M","-0.56%"
"21.10.2020","8.890","8.840","9.020","8.780","29.95M","0.79%"
"20.10.2020","8.820","8.570","8.970","8.560","18.07M","3.04%"
"19.10.2020","8.560","8.710","8.740","8.510","11.17M","-1.50%"
"16.10.2020","8.690","8.730","8.880","8.630","17.35M","-0.91%"
"15.10.2020","8.770","8.350","8.800","8.350","22.83M","3.54%"
"14.10.2020","8.470","8.270","8.500","8.220","23.37M","2.54%"
"13.10.2020","8.260","8.360","8.400","8.250","13.87M","-1.43%"
"12.10.2020","8.380","8.580","8.610","8.360","21.88M","-2.44%"
"09.10.2020","8.590","8.720","8.720","8.520","7.93M","-1.38%"
"08.10.2020","8.710","8.410","8.730","8.390","25.61M","3.81%"
"07.10.2020","8.390","8.400","8.520","8.310","24.36M","0.60%"
"06.10.2020","8.340","8.480","8.550","8.300","19.25M","-1.18%"
"05.10.2020","8.440","8.220","8.480","8.130","32.07M","3.18%"
"02.10.2020","8.180","8.090","8.220","7.900","14.38M","0.37%"
"01.10.2020","8.150","8.410","8.450","8.060","16.97M","-2.74%"
"30.09.2020","8.380","8.110","8.460","8.080","28.84M","2.95%"
"29.09.2020","8.140","8.300","8.310","8.110","16.50M","-1.93%"
"28.09.2020","8.300","8.050","8.380","8.020","17.12M","3.88%"
"25.09.2020","7.990","7.880","8.030","7.800","20.74M","1.40%"
"24.09.2020","7.880","7.940","8.020","7.840","18.36M","-1.25%"
"23.09.2020","7.980","8.010","8.130","7.890","18.07M","-0.13%"
"22.09.2020","7.990","7.830","8.020","7.820","24.43M","2.17%"
"21.09.2020","7.820","8.120","8.120","7.780","16.32M","-4.05%"
"18.09.2020","8.150","8.120","8.270","8.020","78.54M","0.12%"
"17.09.2020","8.140","8.480","8.480","8.110","27.95M","-3.44%"
"15.09.2020","8.430","8.300","8.750","8.300","30.68M","1.57%"
"14.09.2020","8.300","8.150","8.340","8.040","23.47M","3.23%"
"11.09.2020","8.040","7.520","8.240","7.520","65.27M","6.91%"
"10.09.2020","7.520","6.900","7.600","6.850","40.17M","8.67%"
"09.09.2020","6.920","6.820","6.980","6.760","21.54M","1.62%"
"08.09.2020","6.810","6.930","6.930","6.710","19.30M","-1.73%"
"07.09.2020","6.930","6.900","6.950","6.830","1.22M","0.87%"
"04.09.2020","6.870","6.840","6.940","6.710","20.23M","0.15%"
"03.09.2020","6.860","7.130","7.130","6.760","32.09M","-3.24%"
"02.09.2020","7.090","7.240","7.240","7.010","18.05M","-1.53%"
"01.09.2020","7.200","7.030","7.230","7.000","28.74M","2.56%"
"31.08.2020","7.020","7.400","7.400","7.010","66.99M","-4.88%"
"28.08.2020","7.380","7.560","7.630","7.330","13.15M","-2.38%"
"27.08.2020","7.560","7.640","7.680","7.470","19.27M","-1.31%"
"26.08.2020","7.660","7.730","7.730","7.610","33.25M","-0.78%"
"25.08.2020","7.720","7.700","7.760","7.550","28.08M","0.78%"
"24.08.2020","7.660","7.600","7.710","7.540","24.72M","1.19%"
"21.08.2020","7.570","7.660","7.660","7.510","25.97M","-1.30%"
"20.08.2020","7.670","7.480","7.740","7.440","18.75M","2.54%"
"19.08.2020","7.480","7.650","7.650","7.440","17.49M","-1.84%"
"18.08.2020","7.620","7.800","7.800","7.500","39.12M","-2.43%"
"17.08.2020","7.810","7.530","7.850","7.480","22.52M","4.13%"
"14.08.2020","7.500","7.370","7.540","7.360","21.69M","1.35%"
"13.08.2020","7.400","7.400","7.490","7.380","13.06M","0.14%"
"12.08.2020","7.390","7.580","7.580","7.340","11.68M","-1.60%"
"11.08.2020","7.510","7.570","7.620","7.440","17.03M","0.54%"
"10.08.2020","7.470","7.350","7.570","7.350","12.81M","2.05%"
"07.08.2020","7.320","7.330","7.380","7.210","12.90M","0.27%"
"06.08.2020","7.300","7.310","7.410","7.210","22.13M","0.27%"
"05.08.2020","7.280","7.170","7.360","7.160","20.03M","1.82%"
"04.08.2020","7.150","7.100","7.240","7.040","21.28M","1.71%"
