"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"19.12.2025","20.960","20.950","21.240","20.820","108.23M","0.43%"
"18.12.2025","20.870","20.160","20.910","20.140","16.49M","3.83%"
"17.12.2025","20.100","20.700","20.700","20.040","31.10M","-2.66%"
"16.12.2025","20.650","21.070","21.160","20.620","40.19M","-1.53%"
"15.12.2025","20.970","20.190","21.270","20.190","30.82M","4.28%"
"11.12.2025","20.110","19.820","20.230","19.770","32.31M","1.93%"
"10.12.2025","19.730","20.020","20.020","19.630","25.13M","-1.05%"
"09.12.2025","19.940","20.140","20.140","19.800","25.49M","-0.50%"
"08.12.2025","20.040","19.700","20.260","19.700","20.47M","1.93%"
"05.12.2025","19.660","19.990","20.020","19.620","16.85M","-1.60%"
"04.12.2025","19.980","19.930","20.040","19.850","14.70M","0.71%"
"03.12.2025","19.840","19.440","19.920","19.440","20.06M","1.17%"
"02.12.2025","19.610","19.340","19.780","19.340","33.18M","1.34%"
"01.12.2025","19.350","19.370","19.690","19.320","33.49M","-0.10%"
"28.11.2025","19.370","19.090","19.810","18.950","21.13M","2.38%"
"27.11.2025","18.920","19.350","19.350","18.900","5.17M","-2.17%"
"26.11.2025","19.340","19.190","19.390","19.030","23.29M","0.89%"
"25.11.2025","19.170","18.500","19.260","18.500","21.04M","3.06%"
"24.11.2025","18.600","18.480","18.890","18.460","96.14M","0.11%"
