"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"11.02.2025","209.94","212.27","214.04","208.38","1.78M","-1.21%"
"10.02.2025","212.51","210.01","215.84","206.27","3.45M","1.79%"
"07.02.2025","208.77","198.00","212.88","195.97","6.80M","14.03%"
"06.02.2025","183.08","184.08","184.52","181.86","2.78M","-1.00%"
"05.02.2025","184.92","185.10","186.17","182.92","1.70M","0.75%"
"04.02.2025","183.54","186.14","186.61","182.66","1.66M","-1.36%"
"03.02.2025","186.07","184.62","187.59","182.89","1.74M","0.30%"
"31.01.2025","185.51","190.07","190.93","185.39","1.68M","-2.99%"
"30.01.2025","191.23","190.91","192.50","189.88","1.21M","0.60%"
"29.01.2025","190.09","186.92","191.60","186.92","1.43M","1.58%"
"28.01.2025","187.14","186.85","189.70","185.73","1.62M","-0.39%"
"27.01.2025","187.87","185.05","190.57","184.18","2.34M","1.28%"
"24.01.2025","185.49","184.00","185.63","182.57","1.64M","0.91%"
"23.01.2025","183.82","183.28","184.69","179.61","2.07M","-2.22%"
"22.01.2025","187.99","185.35","188.18","183.54","1.55M","1.54%"
"21.01.2025","185.14","187.55","189.04","184.43","1.61M","-0.68%"
"17.01.2025","186.41","186.95","186.95","184.82","1.44M","1.66%"
"16.01.2025","183.37","182.27","184.46","181.26","1.28M","1.13%"
"15.01.2025","181.32","183.40","183.79","179.58","1.33M","0.72%"
"14.01.2025","180.03","178.91","181.53","178.65","876.20K","0.71%"
"13.01.2025","178.76","178.61","179.98","177.93","957.45K","0.08%"
"10.01.2025","178.61","181.90","182.88","177.35","1.42M","-2.79%"
"08.01.2025","183.74","181.59","183.91","180.17","1.98M","1.09%"
"07.01.2025","181.75","188.09","188.71","180.88","2.25M","-3.83%"
"06.01.2025","188.98","190.64","192.14","188.31","1.23M","0.12%"
"03.01.2025","188.75","184.60","189.18","184.20","1.45M","3.10%"
"02.01.2025","183.07","184.66","185.10","180.87","1.44M","-0.55%"
"31.12.2024","184.08","184.77","185.76","183.65","1.11M","-0.25%"
"30.12.2024","184.54","184.19","185.93","182.00","1.32M","-1.01%"
"27.12.2024","186.43","187.43","188.36","184.70","1.01M","-0.39%"
"26.12.2024","187.16","184.75","187.56","184.71","733.78K","0.95%"
"24.12.2024","185.39","184.00","185.82","183.63","461.10K","1.18%"
"23.12.2024","183.22","181.09","183.37","181.09","1.20M","0.69%"
"20.12.2024","181.97","180.00","184.20","179.00","3.58M","0.33%"
"19.12.2024","181.38","183.50","184.49","181.16","1.57M","-0.29%"
"18.12.2024","181.90","186.52","188.40","181.64","2.02M","-2.17%"
"17.12.2024","185.93","186.64","187.32","185.85","1.37M","-0.67%"
"16.12.2024","187.18","185.91","188.78","185.32","1.85M","0.92%"
"13.12.2024","185.48","188.30","188.65","184.70","1.33M","-2.19%"
"12.12.2024","189.64","189.33","190.54","188.27","797.08K","-0.43%"
"11.12.2024","190.46","188.88","191.26","186.05","1.49M","2.75%"
"10.12.2024","185.36","186.71","188.24","184.71","1.15M","-1.35%"
"09.12.2024","187.90","188.97","191.02","187.67","1.42M","-0.95%"
"06.12.2024","189.71","190.35","191.91","188.17","1.50M","-0.17%"
"05.12.2024","190.03","189.35","191.63","188.00","1.98M","0.97%"
"04.12.2024","188.20","188.50","188.88","187.25","1.43M","0.07%"
"03.12.2024","188.06","187.40","188.38","186.93","926.66K","0.06%"
"02.12.2024","187.95","188.36","188.63","187.00","1.26M","-0.23%"
"29.11.2024","188.38","186.21","189.31","186.21","679.64K","1.52%"
"27.11.2024","185.56","188.23","188.56","185.35","1.24M","-1.22%"
"26.11.2024","187.85","188.19","189.28","187.14","1.79M","0.12%"
"25.11.2024","187.62","189.76","190.43","187.47","2.50M","-0.28%"
